id,instant,player_pseudo,turn_id,move,accuracy,points
158,2024-09-01 09:19:44.918407+00,Ignatius Perdu,1137,g5g6,0.87717116,224
159,2024-09-01 10:53:58.381531+00,Aeronwy Dépressive,1150,h3h2,1,256
160,2024-09-01 10:54:17.146353+00,Aeronwy Dépressive,1150,c6e5,0.7311132,187
161,2024-09-01 13:08:41.869606+00,Aeronwy Dépressive,1168,d6c5,1,256
162,2024-09-01 14:07:37.911836+00,Ignatius Perdu,1175,c6c7,0.927699,244
163,2024-09-01 14:07:46.62881+00,Ignatius Perdu,1175,g8d5,0.91939884,242
164,2024-09-01 14:07:48.911301+00,Ignatius Perdu,1175,g8e6,0.91939884,242
165,2024-09-01 14:40:23.615792+00,Aeronwy Dépressive,1180,h3h2,0.66220826,169
166,2024-09-01 14:41:15.04536+00,Aeronwy Dépressive,1180,d4d3,1,256
167,2024-09-01 16:53:00.43551+00,Ignatius Perdu,1197,c6c7,0.68874735,181
168,2024-09-01 16:53:26.270982+00,Ignatius Perdu,1197,h3g4,1,263
169,2024-09-01 18:16:35.658316+00,Ignatius Perdu,1209,h4g3,1,263
170,2024-09-01 20:56:06.536714+00,Aeronwy Dépressive,1230,d3f4,0.89208585,228
171,2024-09-01 20:56:06.59927+00,Aeronwy Dépressive,1230,d3f2,1,256
172,2024-09-02 06:14:38.28526+00,Aeronwy Dépressive,1304,"",0,0
173,2024-09-02 06:42:39.265957+00,Elowen Brutale,1308,d7d5,0.90049595,237
174,2024-09-02 07:15:48.226954+00,Ignatius Perdu,1309,e2e3,1,263
175,2024-09-02 07:16:11.394254+00,Ignatius Perdu,1309,d1d2,0.7279145,192
176,2024-09-02 07:16:12.932386+00,Ignatius Perdu,1309,d1d3,0.73088294,192
177,2024-09-02 07:16:25.86228+00,Ignatius Perdu,1309,g1f3,1,263
202,2024-09-02 08:42:03.327802+00,Ignatius Perdu,1361,f2f4,0.46265358,128
203,2024-09-02 09:37:58.577021+00,Remus Machiavélique,1368,f5g4,0.76426786,211
204,2024-09-02 11:39:34.138888+00,Remus Machiavélique,1384,g6f5,0.89554894,248
205,2024-09-02 12:03:22.374683+00,Remus Machiavélique,1388,f6g5,1,277
206,2024-09-02 12:18:10.535394+00,Remus Machiavélique,1390,c6b5,0.99716985,276
207,2024-09-02 12:33:11.537521+00,Remus Machiavélique,1392,h6g5,1,283
208,2024-09-02 12:35:53.449255+00,Basil Obsédé,1392,h6g5,1,214
209,2024-09-02 12:58:31.179865+00,Elysia Brutale,1395,a1c1,0.96272284,278
210,2024-09-02 13:06:40.663607+00,Remus Machiavélique,1396,h7h3,1,283
211,2024-09-02 13:21:26.783652+00,Remus Machiavélique,1398,b5a4,1,283
212,2024-09-02 13:21:31.658879+00,Basil Obsédé,1398,b5a4,1,214
213,2024-09-02 13:25:27.211145+00,Ignatius Perdu,1399,c1a1,0.972336,281
214,2024-09-02 13:52:23.271538+00,Remus Machiavélique,1402,h2h1,1,283
215,2024-09-02 13:52:34.439104+00,Basil Obsédé,1402,h2h1,1,214
