id,played,fen,end_of_turn,win,draw,loss,outcome
6152,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,2024-09-27 08:05:40.7822+00,,,,
6153,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,2024-09-27 08:13:10.80574+00,0.03,0.969,0.001,
6154,e7e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,2024-09-27 08:20:40.827835+00,0.051,0.949,0,
6155,g1f3,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,2024-09-27 08:28:10.852618+00,0.029,0.97,0.001,
6156,b8c6,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,2024-09-27 08:35:40.876382+00,0.063,0.937,0,
6157,f1c4,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,2024-09-27 08:43:10.899767+00,0.023,0.976,0.001,
6158,g8f6,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,2024-09-27 08:50:40.921849+00,0.037,0.962,0.001,
6159,d2d3,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4,2024-09-27 08:58:10.940032+00,0.011,0.987,0.002,
6160,c6b4,r1bqkb1r/pppp1ppp/5n2/4p3/1nB1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 1 5,2024-09-27 09:05:40.959451+00,0.833,0.167,0,
6161,f3e5,r1bqkb1r/pppp1ppp/5n2/4N3/1nB1P3/3P4/PPP2PPP/RNBQK2R b KQkq - 0 5,2024-09-27 09:13:10.980332+00,0.772,0.228,0,
6162,d7d5,r1bqkb1r/ppp2ppp/5n2/3pN3/1nB1P3/3P4/PPP2PPP/RNBQK2R w KQkq - 0 6,2024-09-27 09:20:41.002804+00,0.977,0.023,0,
6163,e4d5,r1bqkb1r/ppp2ppp/5n2/3PN3/1nB5/3P4/PPP2PPP/RNBQK2R b KQkq - 0 6,2024-09-27 09:28:11.026398+00,0.944,0.056,0,
6164,b4d5,r1bqkb1r/ppp2ppp/5n2/3nN3/2B5/3P4/PPP2PPP/RNBQK2R w KQkq - 0 7,2024-09-27 09:35:41.048162+00,0.973,0.027,0,
