id,end_of_turn,halfturn,team,played,fen,win,draw,loss,outcome
7479,2024-10-04T06:00:09.546Z,184,black,b3c2,8/8/k3r3/1p5Q/n7/8/2K5/8 b - - 0 92,0.005,0.99,0.005,
7483,2024-10-04T06:30:09.857Z,188,black,b3b4,4r3/8/1k6/1p5Q/nK6/8/8/8 b - - 4 94,0.003,0.99,0.007,
7431,2024-10-04T00:00:06.073Z,136,black,b4b3,8/8/kp3Q2/1p6/n7/1K6/2n5/3n3r b - - 10 68,0.0,0.0,1.0,
7432,2024-10-04T00:07:36.238Z,137,white,a6a7,8/k7/1p3Q2/1p6/n7/1K6/2n5/3n3r w - - 11 69,0.0,0.0,1.0,
7433,2024-10-04T00:15:06.287Z,138,black,f6c3,8/k7/1p6/1p6/n7/1KQ5/2n5/3n3r b - - 12 69,0.0,0.0,1.0,
7434,2024-10-04T00:22:36.312Z,139,white,h1h4,8/k7/1p6/1p6/n6r/1KQ5/2n5/3n4 w - - 13 70,0.005,0.99,0.005,
7435,2024-10-04T00:30:06.365Z,140,black,c3g3,8/k7/1p6/1p6/n6r/1K4Q1/2n5/3n4 b - - 14 70,0.0,0.0,1.0,
7436,2024-10-04T00:37:36.388Z,141,white,h4h6,8/k7/1p5r/1p6/n7/1K4Q1/2n5/3n4 w - - 15 71,0.005,0.99,0.005,
7437,2024-10-04T00:45:06.458Z,142,black,g3c3,8/k7/1p5r/1p6/n7/1KQ5/2n5/3n4 b - - 16 71,0.0,0.0,1.0,
7438,2024-10-04T00:52:36.572Z,143,white,a7b8,1k6/8/1p5r/1p6/n7/1KQ5/2n5/3n4 w - - 17 72,0.0,0.926,0.074,
7439,2024-10-04T01:00:06.713Z,144,black,c3h3,1k6/8/1p5r/1p6/n7/1K5Q/2n5/3n4 b - - 18 72,0.0,0.0,1.0,
7440,2024-10-04T01:07:36.748Z,145,white,c2a1,1k6/8/1p5r/1p6/n7/1K5Q/8/n2n4 w - - 19 73,0.0,0.0,1.0,
7441,2024-10-04T01:15:06.777Z,146,black,b3a3,1k6/8/1p5r/1p6/n7/K6Q/8/n2n4 b - - 20 73,0.0,0.0,1.0,
7442,2024-10-04T01:22:36.846Z,147,white,a4c3,1k6/8/1p5r/1p6/8/K1n4Q/8/n2n4 w - - 21 74,0.0,0.918,0.082,
7443,2024-10-04T01:30:06.867Z,148,black,h3e3,1k6/8/1p5r/1p6/8/K1n1Q3/8/n2n4 b - - 22 74,0.0,0.0,1.0,
7444,2024-10-04T01:37:36.898Z,149,white,b8a8,k7/8/1p5r/1p6/8/K1n1Q3/8/n2n4 w - - 23 75,0.005,0.99,0.005,
7445,2024-10-04T01:45:07.021Z,150,black,e3e7,k7/4Q3/1p5r/1p6/8/K1n5/8/n2n4 b - - 24 75,0.0,0.0,1.0,
