id,instant,move,turn_id,player_pseudo,accuracy,points
1767,2024-10-04T05:18:14.380Z,b3c2,7474,Ignatius Perdu,0.6009025,224
1768,2024-10-04T05:18:35.244Z,d8d1,7474,Ignatius Perdu,0.16082124,60
1769,2024-10-04T06:32:46.958Z,h5b5,7484,Morgana Inquiétante,0.0,0
1770,2024-10-04T06:32:48.529Z,b4c3,7484,Morgana Inquiétante,0.17760982,66
1771,2024-10-04T06:32:52.933Z,h5e8,7484,Morgana Inquiétante,0.73954964,276
1772,2024-10-04T06:40:29.505Z,b6a6,7485,Ambrose Cryptique,0.5260514,196
1773,2024-10-04T06:53:59.248Z,a6a7,7487,Ambrose Cryptique,1.0,373
1774,2024-10-04T07:00:27.058Z,b4c5,7488,Sabine Sauvage,1.0,376
1775,2024-10-04T07:02:26.779Z,f8h6,7488,Sabine Sauvage,1.0,376
1776,2024-10-04T07:02:28.266Z,b4a5,7488,Sabine Sauvage,1.0,376
1777,2024-10-04T07:02:30.067Z,f8h6,7488,Sabine Sauvage,1.0,376
1778,2024-10-04T07:05:32.935Z,b4c3,7488,Sabine Sauvage,1.0,376
1779,2024-10-04T07:10:10.422Z,b5b4,7489,Ambrose Cryptique,1.0,373
1780,2024-10-04T08:04:36.194Z,c4b3,7496,Sabine Sauvage,1.0,376
1781,2024-10-04T08:35:29.971Z,b3c3,7500,Sabine Sauvage,1.0,376
1782,2024-10-04T09:06:34.657Z,c3b4,7504,Sabine Sauvage,1.0,376
1783,2024-10-04T09:08:28.297Z,b6a7,7505,Ambrose Cryptique,1.0,376
1784,2024-10-04T09:09:49.519Z,b6a7,7505,Endora Erratique,1.0,306
1785,2024-10-04T09:15:53.083Z,f8e7,7506,Sabine Sauvage,1.0,376
1786,2024-10-04T09:23:01.306Z,a7a8,7507,Ambrose Cryptique,1.0,376
1787,2024-10-04T09:23:32.356Z,a7a8,7507,Endora Erratique,1.0,306
1788,2024-10-04T09:36:09.160Z,b4a5,7508,Sabine Sauvage,1.0,380
1789,2024-10-04T09:39:43.445Z,a8b8,7509,Ambrose Cryptique,1.0,378
1790,2024-10-04T09:39:48.842Z,a8b8,7509,Endora Erratique,1.0,309
1791,2024-10-04T09:45:41.566Z,a5b6,7510,Sabine Sauvage,1.0,380
1792,2024-10-04T09:47:04.984Z,a5a6,7510,Simeon Infernal,1.0,380
1793,2024-10-04T09:47:14.865Z,a5b6,7510,Simeon Infernal,1.0,311
1794,2024-10-04T09:54:34.444Z,b8a8,7511,Ambrose Cryptique,1.0,378
1795,2024-10-04T09:54:49.545Z,b8a8,7511,Endora Erratique,1.0,309
1796,2024-10-04T10:00:16.555Z,e7b7,7512,Sabine Sauvage,1.0,380
1797,2024-10-04T10:02:42.622Z,e7b7,7512,Simeon Infernal,1.0,311
1798,2024-10-04T10:02:54.403Z,e7e8,7512,Ignatius Perdu,1.0,380
1799,2024-10-04T12:30:00.901Z,b7a6,7531,Ambrose Cryptique,0.84692377,322
1800,2024-10-04T12:39:45.910Z,b4c3,7533,Ambrose Cryptique,1.0,380
1801,2024-10-04T12:41:08.325Z,c8b7,7533,Ambrose Cryptique,0.27899364,106
1802,2024-10-04T12:45:30.442Z,h3h1,7534,Victor Sardonique,0.28630713,110
1803,2024-10-04T12:46:57.530Z,e1f1,7534,Sabine Sauvage,0.33445907,128
1804,2024-10-04T12:47:04.109Z,d1e2,7534,Sabine Sauvage,0.3687885,141
1805,2024-10-04T12:47:06.886Z,d1a4,7534,Sabine Sauvage,0.18156993,69
1806,2024-10-04T12:47:30.725Z,d2d3,7534,Sabine Sauvage,0.31937405,122
1807,2024-10-04T12:48:06.538Z,e1f1,7534,Sabine Sauvage,0.33445907,128
1808,2024-10-04T12:53:02.623Z,b7f3,7535,Ambrose Cryptique,0.52637213,202
1809,2024-10-04T12:54:49.339Z,f6g4,7535,Endora Erratique,0.8448463,325
1810,2024-10-04T12:56:39.901Z,b7f3,7535,Endora Erratique,0.52637213,166
1811,2024-10-04T12:59:51.846Z,f6g4,7535,Endora Erratique,0.8448463,325
1812,2024-10-04T13:00:21.426Z,f3e5,7536,Victor Sardonique,0.4249044,163
1813,2024-10-04T13:02:03.220Z,f3e5,7536,Mordecai Diabolique,0.4249044,134
1814,2024-10-04T13:08:09.980Z,g4e5,7537,Endora Erratique,1.0,385
1815,2024-10-04T13:09:19.940Z,g4e5,7537,Azura Hallucinée,1.0,317
1816,2024-10-04T13:10:42.133Z,b7f3,7537,Ambrose Cryptique,0.027723636,10
1817,2024-10-04T13:15:19.189Z,h1f1,7538,Ignatius Perdu,0.9044637,350
1818,2024-10-04T13:17:30.087Z,h1f1,7538,Ignatius Perdu,0.9044637,350
1819,2024-10-04T13:25:58.534Z,c3a3,7539,Ambrose Cryptique,1.0,387
1820,2024-10-04T13:39:52.434Z,f2f3,7541,Remus Sinistre,0.6954791,270
1821,2024-10-04T13:44:39.440Z,e2e4,7541,Remus Sinistre,1.0,389
1822,2024-10-04T14:07:41.813Z,d7d5,7544,Ambrose Cryptique,0.84193856,325
1823,2024-10-04T14:10:09.070Z,b1a3,7545,Sabine Sauvage,0.6698483,260
1824,2024-10-04T14:25:14.414Z,f3g5,7547,Sabine Sauvage,1.0,389
1825,2024-10-04T14:38:30.964Z,e4f5,7549,Sabine Sauvage,0.42095992,163
1826,2024-10-04T14:59:52.670Z,g5f3,7551,Sabine Sauvage,0.40589947,157
1827,2024-10-04T14:59:59.150Z,g5e6,7551,Sabine Sauvage,0.5363782,208
1828,2024-10-04T15:00:27.212Z,c8e6,7552,Ambrose Cryptique,0.94570863,366
1829,2024-10-04T15:57:24.779Z,a6b7,7559,Demetrius Anxieux,0.632762,246
1830,2024-10-04T17:13:39.996Z,g5e3,7569,Ignatius Perdu,0.09527819,37
