id,end_of_turn,halfturn,team,played,fen,win,draw,loss,outcome
10262,2024-10-17T07:47:47.718Z,1,white,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,,,,
10263,2024-10-17T07:48:57.171Z,2,black,g2g4,rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq - 0 1,0.0,0.228,0.772,
10302,2024-10-17T07:56:27.205Z,3,white,d7d5,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.0,0.302,0.698,
10303,2024-10-17T08:03:57.223Z,4,black,d2d4,rnbqkbnr/ppp1pppp/8/3p4/3P2P1/8/PPP1PP1P/RNBQKBNR b KQkq - 0 2,0.0,0.043,0.957,
10304,2024-10-17T08:11:27.241Z,5,white,b8c6,r1bqkbnr/ppp1pppp/2n5/3p4/3P2P1/8/PPP1PP1P/RNBQKBNR w KQkq - 1 3,0.0,0.58,0.42,
10305,2024-10-17T08:18:57.265Z,6,black,c2c3,r1bqkbnr/ppp1pppp/2n5/3p4/3P2P1/2P5/PP2PP1P/RNBQKBNR b KQkq - 0 3,0.0,0.022,0.978,
10306,2024-10-17T08:26:27.282Z,7,white,c8g4,r2qkbnr/ppp1pppp/2n5/3p4/3P2b1/2P5/PP2PP1P/RNBQKBNR w KQkq - 0 4,0.0,0.02,0.98,
10307,2024-10-17T08:33:57.298Z,8,black,f2f3,r2qkbnr/ppp1pppp/2n5/3p4/3P2b1/2P2P2/PP2P2P/RNBQKBNR b KQkq - 0 4,0.0,0.001,0.999,
10308,2024-10-17T08:41:27.313Z,9,white,g4f5,r2qkbnr/ppp1pppp/2n5/3p1b2/3P4/2P2P2/PP2P2P/RNBQKBNR w KQkq - 1 5,0.0,0.001,0.999,
10309,2024-10-17T08:48:57.326Z,10,black,d1b3,r2qkbnr/ppp1pppp/2n5/3p1b2/3P4/1QP2P2/PP2P2P/RNB1KBNR b KQkq - 2 5,0.0,0.0,1.0,
10310,2024-10-17T08:56:27.347Z,11,white,b7b6,r2qkbnr/p1p1pppp/1pn5/3p1b2/3P4/1QP2P2/PP2P2P/RNB1KBNR w KQkq - 0 6,0.0,0.553,0.447,
10311,2024-10-17T09:03:57.362Z,12,black,c1f4,r2qkbnr/p1p1pppp/1pn5/3p1b2/3P1B2/1QP2P2/PP2P2P/RN2KBNR b KQkq - 1 6,0.0,0.011,0.989,
10312,2024-10-17T09:11:27.380Z,13,white,e7e6,r2qkbnr/p1p2ppp/1pn1p3/3p1b2/3P1B2/1QP2P2/PP2P2P/RN2KBNR w KQkq - 0 7,0.0,0.525,0.475,
10313,2024-10-17T09:18:57.398Z,14,black,b1d2,r2qkbnr/p1p2ppp/1pn1p3/3p1b2/3P1B2/1QP2P2/PP1NP2P/R3KBNR b KQkq - 1 7,0.0,0.031,0.969,
10314,2024-10-17T09:26:27.411Z,15,white,d8h4,r3kbnr/p1p2ppp/1pn1p3/3p1b2/3P1B1q/1QP2P2/PP1NP2P/R3KBNR w KQkq - 2 8,0.965,0.035,0.0,
